LocationType,Location,TimeFrame,DataFormat,Data
Nation,United States,1990,Number,4158212
Nation,United States,1991,Number,4110907
Nation,United States,1992,Number,4065014
Nation,United States,1993,Number,4000240
Nation,United States,1994,Number,3952767
Nation,United States,1995,Number,3899589
Nation,United States,1996,Number,3891494
Nation,United States,1997,Number,3880894
Nation,United States,1998,Number,3941553
Nation,United States,1999,Number,3959417
Nation,United States,2000,Number,4058814
Nation,United States,2001,Number,4025933
Nation,United States,2002,Number,4021726
Nation,United States,2003,Number,4089950
Nation,United States,2004,Number,4112052
Nation,United States,2005,Number,4138349
Nation,United States,2006,Number,4265555
Nation,United States,2007,Number,4316233
Nation,United States,2013,Number,3932181
Nation,United States,2009,Number,4130665
Nation,United States,2010,Number,3999386
Nation,United States,2015,Number,3978497
Nation,United States,2011,Number,3953590
Nation,United States,2012,Number,3952841
Nation,United States,2014,Number,3988076
Nation,United States,2016,Number,3945875
Nation,United States,2008,Number,4247694
State,Alabama,2016,Number,59151
State,Alabama,2014,Number,59422
State,Alabama,2012,Number,58448
State,Alabama,2011,Number,59354
State,Alabama,2015,Number,59657
State,Alabama,2010,Number,60050
State,Alabama,2009,Number,62475
State,Alabama,2013,Number,58167
State,Alabama,2005,Number,60453
State,Alabama,2006,Number,63232
State,Alabama,2007,Number,64804
State,Alabama,2008,Number,64546
State,Alabama,2003,Number,59552
State,Alabama,2004,Number,59510
State,Alabama,2001,Number,60454
State,Alabama,2002,Number,58967
State,Alabama,1997,Number,60914
State,Alabama,1998,Number,62074
State,Alabama,1999,Number,62122
State,Alabama,2000,Number,63299
State,Alabama,1995,Number,60329
State,Alabama,1996,Number,60488
State,Alabama,1993,Number,61706
State,Alabama,1994,Number,60939
State,Alabama,1990,Number,63487
State,Alabama,1991,Number,62810
State,Alabama,1992,Number,62260
State,Alaska,1992,Number,11726
State,Alaska,1991,Number,11686
State,Alaska,1990,Number,11902
State,Alaska,1994,Number,10678
State,Alaska,1993,Number,11073
State,Alaska,1996,Number,10037
State,Alaska,1995,Number,10244
State,Alaska,1997,Number,9947
State,Alaska,2000,Number,9974
State,Alaska,1999,Number,9950
State,Alaska,1998,Number,9926
State,Alaska,2002,Number,9938
State,Alaska,2001,Number,10003
State,Alaska,2004,Number,10338
State,Alaska,2003,Number,10086
State,Alaska,2005,Number,10459
State,Alaska,2008,Number,11442
State,Alaska,2007,Number,11052
State,Alaska,2006,Number,10996
State,Alaska,2013,Number,11446
State,Alaska,2009,Number,11324
State,Alaska,2010,Number,11471
State,Alaska,2015,Number,11282
State,Alaska,2011,Number,11456
State,Alaska,2012,Number,11187
State,Alaska,2014,Number,11392
State,Alaska,2016,Number,11209
State,Arizona,2016,Number,84520
State,Arizona,2014,Number,86887
State,Arizona,2012,Number,86441
State,Arizona,2011,Number,85543
State,Arizona,2015,Number,85351
State,Arizona,2010,Number,87477
State,Arizona,2009,Number,92798
State,Arizona,2013,Number,85600
State,Arizona,2006,Number,102429
State,Arizona,2007,Number,102981
State,Arizona,2008,Number,99442
State,Arizona,2005,Number,96199
State,Arizona,2003,Number,90967
State,Arizona,2004,Number,93663
State,Arizona,2001,Number,85597
State,Arizona,2002,Number,87837
State,Arizona,1998,Number,78243
State,Arizona,1999,Number,81145
State,Arizona,2000,Number,85273
State,Arizona,1997,Number,75699
State,Arizona,1995,Number,72463
State,Arizona,1996,Number,75322
State,Arizona,1993,Number,69056
State,Arizona,1994,Number,70846
State,Arizona,1990,Number,68995
State,Arizona,1991,Number,68109
State,Arizona,1992,Number,68829
State,Arkansas,1992,Number,34820
State,Arkansas,1991,Number,35479
State,Arkansas,1990,Number,36457
State,Arkansas,1994,Number,34718
State,Arkansas,1993,Number,34289
State,Arkansas,1996,Number,36371
State,Arkansas,1995,Number,35175
State,Arkansas,1997,Number,36478
State,Arkansas,2000,Number,37783
State,Arkansas,1999,Number,36729
State,Arkansas,1998,Number,36865
State,Arkansas,2002,Number,37437
State,Arkansas,2001,Number,37010
State,Arkansas,2004,Number,38573
State,Arkansas,2003,Number,37784
State,Arkansas,2005,Number,39208
State,Arkansas,2008,Number,40669
State,Arkansas,2007,Number,41378
State,Arkansas,2006,Number,40961
State,Arkansas,2013,Number,37832
State,Arkansas,2009,Number,39808
State,Arkansas,2010,Number,38540
State,Arkansas,2015,Number,38886
State,Arkansas,2011,Number,38715
State,Arkansas,2012,Number,38347
State,Arkansas,2014,Number,38511
